targetname,onlytargetmbon,with1MBONxx,with2ormoreMBONxx,overallsynapticsites
MBON01,21139,5270,424,26833
MBON02,13031,3384,57,16472
MBON03,10130,3128,246,13504
MBON04,2718,3331,432,6481
MBON05,13034,7173,929,21136
MBON06,13708,1592,227,15527
MBON07,20861,596,25,21482
MBON09,20258,3752,252,24262
MBON10,354,679,115,1148
MBON11,11462,2072,218,13752
MBON12,6953,4807,1390,13150
MBON13,5056,1827,281,7164
MBON14,19534,378,5,19917
MBON15,382,696,385,1463
MBON15-like,674,1540,624,2838
MBON16,1589,2657,393,4639
MBON17,1214,1208,370,2792
MBON17-like,481,1315,362,2158
MBON18,8317,2344,168,10829
MBON19,994,862,173,2029
MBON20,756,986,305,2047
MBON21,2667,4800,777,8244
MBON22,14,17,9,40
MBON23,1033,2180,175,3388
MBON24,2531,2258,123,4912
MBON25,305,309,113,727
MBON26,1081,1457,278,2816
MBON27,1282,1953,223,3458
MBON28,549,1292,131,1972
MBON29,1896,3641,571,6108
MBON30,2862,4650,815,8327
MBON31,1620,2330,815,4765
MBON32,2899,3097,1000,6996
MBON33,445,753,262,1460
MBON34,80,125,37,242
MBON35,854,1463,507,2824