label,hex,type,colour
APL,#D72000,neuron,red
,#D72000,,red
,#8FDA04,,green
DPM,#8FDA04,neuron,green
,#D72000,,red
,#8FDA05,,green
,#54BCD1,,cyan
,#8FDA04,,green
,#8FDA04,,green
,#5CA700,,green
KCg-m,#F4B95A,neuron,paleorange
,#EF7C12,,darkorange
,#54BCD1,,cyan
,#C70E7B,,purple
,#8FDA04,,#8FDA04
,#C70E7B,,purple
,#EFC7E6,,pink
,#EF7C12,,orange
,#FF1493,,fuschia
,#FF1493,,fuschia
,#d55e3a,,sienna3
,#FC5A50,,coral
,#1BB6AF,,marine
,#AF6125,,brown
,#EE4244,,cerise
,#AF6125,,brown
,#ADD8E6,,lightblue
,#007BC3,,blue
KCg-d,#AF6125,neuron,brown
KCa'b'-m,#F0E442,neuron,yellow
KCa'b'-ap1,#EBBF06,neuron,paleorange
KCa'b'-ap2,#F8F097,neuron,mediumorange
,#EE4244,,cerise
,#EF7C12,,orange
,#C70E7B,,purple
,#D72000,,red
,#1BB6AF,,marine
,#31D64D,,palegreen
,#F4B95A,,paleorange
,#D72000,,red
,#132157,,navy
,#4D4D4D,,lightgrey
,#B3B3B3,,darkgrey
,#B3B3B3,,darkgrey
,#B3B3B3,,darkgrey
,#B3B3B3,,darkgrey
,#000000,,black
,#FC6882,,pink
,#800080,,purple
,#8FDA04,,green
,#009F3F,,darkgreen
,#8b0000,,darkred
,#F4B95A,,midorange
,#132157,,navy
,#B25D91,,mauve
,#FBBB48,,darkyellow
,#1BB6AF,,marine
,#009F3F,,darkgreen
,#000000,,black
,#132157,,navy
,#D72000,,red
,#1BB6AF,,marine
,#F4E3C7,,palebrown
,#31D64D,,palegreen
,#013220,,verydarkgreen
,#8FDA06,,green
,#F4B95A,,paleorange
,#EFC7E6,,pink
,#8FDA06,,green
,#31D64D,,palegreen
,#009F3F,,darkgreen
,#D72000,,red
PAM01_a,#AF6125,neuron,brown
,#F4E3C7,,palebrown
,#000000,,black
,#007BC3,,blue
,#1BB6AF,,marine
,#EF7C12,,darkorange
,#F4B95A,,paleorange
,#009F3F,,darkgreen
,#8FDA04,,green
,#EF7C12,,darkorgange
,#EF7C12,,darkorgange
,#EF7C12,,darkorgange
,#EF7C12,,darkorgange
,#1BB6AF,,marine
,#1BB6AF,,marine
,#C70E7B,,purple
,#EF7C12,,darkorgange
,#009F3F,,darkgreen
,#132157,,navy
,#009F3F,,darkgreen
MBON17-like,#95A3CE,neuron,blue
,#95A3CE,,blue
,#95A3CE,,blue
,#95A3CE,,blue
,#95A3CE,,blue
,#86A859,,green
,#86A859,,green
,#86A859,,green
,#D5A848,,orange
,#D5A848,,orange
,#8C6295,,paleorange
,#B87969,,darkyellow
,#725C98,,purple
,#4D4D4D,,lightgrey
,#D72000,,red
,#132157,,navy
,#D72000,,red
,#D72000,,red
,#8b0000,,darkred
,#800080,,purple
,#800080,,purple
,#FBBB48,,darkyellow
,#348E53,,sagegreen
,#348E53,,sagegreen
,#F0E442,,yellow
,#005E45,,dkgreen
,#908827,,mustard
,#908827,,mustard
,#A53600,,rust
,#A53600,,rust
,#F0E442,,yellow
,#D55E00,,redorange
,#B32DB5,,magenta
,#B32DB5,,magenta
,#CC79A7,,pink
MBON-M6,#0072B2,neuron,steel blue
,#0072B2,,steelblue
MBON-M4,#053CFF,neuron,royalblue
,#B32DB5,,magenta
,#CC79A7,,pink
,#053CFF,,royal blue
,#053CFF,,royalblue
,#0072B2,,steelblue
MBON09,#56B4E9,neuron,skyblue
MBON05,#A3CCE9,neuron,iceblue
,#000000,,black
,#4D4D4D,,darkgrey
others,#B3B3B3,neuron,lightgrey
,#FBBB48,,darkyellow
,#FBBB48,,darkyellow
,#FF1493,,fuschia
,#009F3F,,darkgreen
,#1BB6AF,,marine
MBON-α′3,#132157,neuron,navy
,#0C60B2,,blue
,#A1D8EB,,cyan
,#B80068,,pink
,#E7273E,,red
,#C43B4C,,NA
,#D28E53,,NA
,#EDE94A,,NA
,#B8D544,,NA
,#96CA50,,NA
,#658E6E,,NA
,#B2DFEE,,NA
,#57BCD0,,NA
,#7672A5,,NA
,#515791,,NA
,#202355,,NA
,#B55D91,,NA
,#C8227B,,NA
,#F9F0D9,,brown
,#F0DDBA,,brown
,#F18A43,,brown
,#C57C43,,brown
,#9E4E1C,,brown
,#73160D,,brown
,#301404,,brown
,#F9F0D9,,brown
,#F0DDBA,,brown
,#F18A43,,brown
,#C57C43,,brown
,#9E4E1C,,brown
,#73160D,,brown
,#301404,,brown